soft_skill_id,student_id,communication,teamwork,presentation,leadership,critical_thinking,interpersonal_skills
2205,66,83,94,96,64,79,93
2327,67,74,89,68,76,67,82
2469,68,88,59,100,66,51,94
2330,69,63,71,100,55,74,53
2256,70,84,94,65,100,94,51
2407,71,84,95,75,99,84,84
2188,72,91,88,78,95,86,95
2342,73,97,83,96,50,100,84
2144,74,99,86,91,78,100,98
2026,75,77,94,78,95,74,98
2269,76,67,78,62,64,57,98
2314,77,81,96,75,78,76,58
2491,78,100,65,87,75,58,53
2448,79,72,90,59,52,59,67
2229,80,94,61,50,73,80,64
2326,81,78,89,86,69,51,65
2243,82,93,55,68,88,69,65
2134,83,81,60,84,68,97,71
2253,84,95,81,63,84,71,52
2277,85,100,83,64,85,78,81
2096,86,52,60,73,89,90,95
2061,87,53,74,83,53,62,60
2349,88,76,87,95,61,93,82
2364,89,53,57,76,88,86,76
2422,90,80,58,55,93,80,90
2265,91,88,97,74,74,95,72
2245,92,87,76,61,77,73,64
2288,93,61,90,69,66,94,61
2461,94,62,58,76,95,57,56
2262,95,98,51,91,55,50,97
2091,96,62,72,76,99,95,82
2397,97,83,90,60,81,82,61
2011,98,90,72,58,82,84,87
2331,99,87,98,67,71,62,88
2107,100,65,92,73,87,57,78
2417,101,62,75,96,85,51,95
2300,102,67,85,89,72,94,76
2120,103,93,55,77,71,89,81
2304,104,96,71,76,75,98,72
2480,105,85,61,91,68,76,76
2493,106,86,56,54,66,72,58
2377,107,66,55,91,56,73,76
2442,108,96,52,69,81,98,57
2370,109,100,77,57,95,74,67
2175,110,95,65,64,83,64,54
2423,111,92,88,56,99,89,99
2282,112,56,93,53,88,89,61
2106,113,84,70,50,71,83,70
2485,114,52,100,58,50,72,90
2336,115,61,82,92,69,92,89
2037,116,79,65,74,70,65,74
2361,117,79,90,51,73,75,94
2266,118,87,92,69,66,57,97
2498,119,92,58,79,55,66,97
2487,120,77,84,80,87,79,93
2147,121,54,72,97,69,59,88
2386,122,90,78,71,89,76,77
2384,123,70,77,76,56,88,58
2479,124,69,70,67,100,80,75
2433,125,89,55,92,92,66,59
2353,126,80,57,73,98,53,64
2020,127,61,62,61,74,81,97
2341,128,100,72,90,97,85,98
2305,129,60,96,91,100,50,59
2121,130,50,60,92,69,78,61
2018,131,51,58,99,88,98,95
2209,132,87,91,56,83,95,56
2034,133,65,70,76,73,84,93
2375,134,80,52,98,96,92,69
2116,135,90,54,66,50,68,53
2129,136,60,80,78,83,84,100
2179,137,93,67,67,95,92,75
2071,138,52,90,66,96,82,95
2093,139,73,69,60,55,80,59
2398,140,90,50,72,85,57,56
2379,141,88,89,93,57,83,57
2388,142,54,86,87,50,76,88
2240,143,100,77,61,52,86,75
2123,144,85,98,96,66,73,84
2081,145,98,86,51,94,64,69
2484,146,72,97,87,52,60,54
2112,147,81,94,100,80,99,93
2180,148,96,55,53,64,96,66
2221,149,55,95,52,85,70,64
2321,150,76,70,68,56,95,60
2099,151,75,76,90,73,63,61
2075,152,64,93,74,79,59,69
2102,153,75,97,75,89,98,52
2016,154,89,78,68,59,50,89
2239,155,64,85,84,91,53,91
2254,156,64,97,97,88,80,69
2411,157,83,99,75,55,63,54
2308,158,95,60,62,64,53,75
2352,159,65,60,58,58,77,92
2455,160,69,68,91,93,81,96
2444,161,67,65,80,86,67,65
2346,162,76,70,81,88,87,78
2014,163,65,91,66,52,75,86
2260,164,77,70,75,99,70,95
2150,165,79,79,68,72,83,72
2412,166,69,78,95,69,50,68
2416,167,72,55,70,54,76,81
2285,168,77,59,61,52,59,59
2500,169,78,61,52,87,62,60
2019,170,66,72,62,79,83,61
2073,171,79,73,63,67,95,62
2181,172,86,64,75,67,64,95
2049,173,78,94,75,60,81,83
2083,174,92,88,54,84,52,77
2418,175,82,97,65,77,67,86
2457,176,65,91,79,67,95,70
2378,177,78,66,87,62,90,67
2103,178,56,86,59,73,76,70
2213,179,67,59,63,66,99,66
2086,180,67,66,100,81,96,68
2139,181,54,62,71,96,55,80
2174,182,72,55,72,63,99,52
2159,183,95,53,81,74,93,55
2363,184,70,59,76,62,81,52
2395,185,80,57,67,88,65,71
2329,186,74,83,61,93,91,67
2068,187,73,51,97,53,73,70
2195,188,75,74,53,74,98,78
2303,189,85,71,57,58,58,81
2396,190,50,62,74,94,50,75
2063,191,64,81,59,70,96,66
2021,192,100,53,57,51,76,90
2194,193,85,82,65,53,51,83
2325,194,57,66,84,73,84,61
2090,195,53,99,90,62,57,60
2193,196,83,87,76,96,90,61
2450,197,85,78,89,92,60,96
2089,198,68,82,75,90,66,84
2249,199,51,99,90,70,55,79
2065,200,59,91,69,52,55,76
2477,201,52,92,95,99,55,84
2080,202,68,54,82,55,84,79
2432,203,60,52,96,97,88,53
2137,204,75,75,64,94,54,90
2392,205,82,56,65,74,59,64
2232,206,89,67,69,62,71,100
2143,207,69,97,76,82,62,91
2376,208,58,56,65,52,57,52
2357,209,65,88,65,67,75,85
2177,210,57,59,74,53,60,84
2042,211,54,97,75,93,76,74
2024,212,79,93,66,96,100,56
2244,213,85,91,54,68,50,91
2058,214,57,54,62,56,91,56
2074,215,87,89,91,99,57,57
2082,216,60,76,75,80,66,92
2427,217,53,78,66,94,56,50
2340,218,73,60,56,50,88,70
2369,219,54,55,72,55,100,65
2062,220,96,58,54,63,69,57
2446,221,82,66,50,83,85,91
2368,222,96,78,91,89,61,61
2333,223,71,58,98,82,54,51
2210,224,51,69,97,91,99,93
2355,225,53,68,73,78,74,58
2208,226,83,60,81,62,66,84
2434,227,62,85,65,76,94,55
2293,228,70,51,82,60,73,54
2350,229,84,99,94,91,90,96
2335,230,70,76,67,98,71,85
2189,231,93,66,50,93,95,85
2164,232,98,58,77,63,91,64
2196,233,88,54,69,71,78,94
2294,234,74,66,82,61,77,74
2401,235,95,78,96,57,61,59
2056,236,59,71,51,72,92,73
2482,237,54,71,73,59,85,79
2492,238,100,75,85,65,73,83
2451,239,87,51,71,67,96,51
2425,240,74,92,96,66,93,79
2424,241,71,86,55,67,92,95
2255,242,81,55,87,99,83,96
2084,243,88,96,89,73,75,68
2297,244,54,80,80,53,83,72
2299,245,73,51,87,59,86,62
2192,246,61,93,74,79,56,98
2230,247,53,69,54,57,61,89
2154,248,86,96,98,66,85,65
2183,249,60,90,66,58,51,69
2076,250,88,66,52,63,91,53
2343,251,80,61,80,79,54,55
2152,252,74,59,53,100,52,95
2220,253,67,95,72,72,88,83
2046,254,68,79,99,76,72,56
2302,255,71,95,88,61,57,72
2258,256,100,81,86,80,60,70
2250,257,90,66,95,68,55,55
2499,258,99,82,70,62,82,51
2094,259,97,61,97,94,69,63
2316,260,52,74,64,75,70,89
2430,261,80,70,54,73,99,94
2186,262,74,56,72,88,77,65
2453,263,78,86,74,81,87,97
2124,264,97,62,100,100,53,80
2165,265,68,61,52,77,52,66
2023,266,82,54,60,81,70,77
2247,267,95,80,78,100,91,52
2348,268,89,91,80,96,74,83
2149,269,70,75,94,84,91,55
2310,270,85,62,84,87,65,95
2426,271,67,68,64,91,91,78
2365,272,69,80,75,77,93,64
2219,273,80,86,78,77,78,98
2088,274,55,62,75,95,62,86
2465,275,71,75,89,60,63,89
2105,276,73,86,80,57,52,71
2010,277,85,92,58,63,89,85
2138,278,56,59,57,77,77,97
2069,279,66,86,52,91,84,100
2360,280,98,82,73,79,80,89
2223,281,76,62,94,91,87,62
2380,282,99,98,64,80,97,97
2092,283,81,50,86,85,61,98
2264,284,97,50,62,94,82,72
2012,285,65,92,51,51,65,86
2008,286,64,51,66,94,90,76
2324,287,75,54,87,74,67,56
2182,288,98,80,79,83,61,60
2307,289,60,83,70,62,81,58
2212,290,60,96,90,60,88,76
2268,291,82,96,87,74,84,57
2351,292,68,55,76,89,97,93
2200,293,96,89,81,55,66,75
2290,294,93,85,100,66,76,53
2233,295,95,80,96,58,50,63
2228,296,59,100,67,99,95,97
2235,297,78,79,76,80,92,68
2259,298,91,97,63,95,54,94
2436,299,65,97,55,100,75,59
2044,300,90,86,96,60,97,66
2289,301,61,59,83,66,91,75
2489,302,91,89,85,50,81,92
2306,303,53,84,51,50,96,77
2467,304,84,80,88,76,98,64
2248,305,90,87,55,55,91,70
2161,306,91,60,84,89,57,83
2271,307,100,71,50,78,79,88
2458,308,79,65,96,68,74,59
2394,309,59,83,81,96,73,82
2270,310,76,76,60,79,58,51
2372,311,64,78,92,98,74,54
2443,312,88,51,85,86,74,89
2295,313,81,96,68,53,70,85
2167,314,61,54,84,62,57,77
2483,315,80,88,73,100,82,59
2382,316,51,53,74,95,68,53
2298,317,57,70,100,74,86,55
2153,318,88,56,69,83,54,64
2171,319,61,84,100,81,72,57
2445,320,65,89,94,82,52,70
2110,321,57,74,51,50,91,52
2007,322,81,65,77,91,90,85
2028,323,53,88,67,57,72,86
2413,324,65,73,96,91,81,89
2225,325,65,65,82,95,74,89
2218,326,81,55,53,57,82,74
2157,327,74,75,56,98,62,75
2006,328,95,71,96,50,72,76
2404,329,57,93,55,93,69,62
2087,330,93,70,72,83,88,69
2066,331,91,57,50,91,77,51
2399,332,59,75,66,97,83,62
2005,333,80,89,93,68,94,73
2496,334,88,88,68,89,84,57
2385,335,100,65,51,89,74,54
2131,336,60,67,59,66,100,81
2275,337,74,63,87,83,86,59
2437,338,58,84,96,71,99,94
2347,339,93,100,93,67,82,85
2471,340,92,62,66,67,68,86
2410,341,54,65,89,95,95,96
2292,342,68,96,85,54,57,75
2393,343,53,74,96,97,74,98
2463,344,85,81,57,57,80,76
2367,345,66,79,99,87,71,91
2236,346,73,50,55,85,80,51
2296,347,57,71,94,53,93,97
2118,348,53,93,97,75,94,54
2204,349,68,93,59,97,50,71
2166,350,78,56,82,92,75,55
2015,351,50,56,89,50,76,94
2373,352,74,50,72,95,57,66
2132,353,50,80,67,98,87,53
2053,354,58,67,79,61,59,84
2490,355,50,72,73,95,50,70
2002,356,59,81,53,68,91,64
2162,357,99,51,93,99,98,69
2170,358,64,69,76,91,80,84
2495,359,72,61,64,86,96,58
2097,360,58,74,96,98,94,67
2009,361,62,77,50,91,63,94
2263,362,55,67,73,88,67,59
2135,363,84,95,79,86,76,86
2109,364,83,67,56,92,68,94
2257,365,52,57,92,71,90,63
2486,366,77,58,83,69,59,69
2252,367,78,75,91,99,66,69
2435,368,87,64,85,87,78,66
2156,369,92,60,68,68,65,57
2051,370,86,79,97,73,63,62
2449,371,67,88,50,67,86,70
2202,372,64,62,71,77,68,77
2022,373,86,93,73,76,78,91
2004,374,68,75,73,92,71,98
2319,375,76,93,59,97,99,62
2199,376,64,83,72,57,73,63
2039,377,92,68,95,84,67,83
2274,378,76,98,61,67,59,84
2191,379,71,58,83,89,51,69
2311,380,70,53,94,59,53,79
2281,381,52,55,96,89,86,80
2216,382,78,61,56,97,66,93
2344,383,93,67,73,97,97,93
2117,384,89,52,88,50,84,96
2197,385,96,63,97,88,95,95
2241,386,95,100,78,88,99,64
2497,387,64,74,66,92,57,86
2414,388,96,63,93,93,59,93
2391,389,64,86,93,100,89,78
2284,390,89,71,80,55,100,96
2276,391,92,82,51,61,57,82
2280,392,75,94,75,55,69,77
2312,393,77,52,62,51,74,61
2323,394,96,73,93,80,63,72
2070,395,62,91,68,79,53,60
2095,396,79,67,94,74,65,74
2246,397,80,88,54,89,88,59
2238,398,68,63,74,54,56,78
2283,399,53,81,60,79,62,76
2184,400,92,79,91,60,99,57
2145,401,54,87,84,93,83,100
2172,402,71,73,69,51,77,75
2402,403,87,52,98,87,86,90
2454,404,52,95,50,70,74,79
2085,405,78,67,76,59,71,90
2400,406,86,94,90,57,57,52
2462,407,83,69,65,71,92,97
2163,408,59,69,60,58,86,70
2472,409,100,72,82,93,83,97
2032,410,62,91,58,77,66,69
2052,411,53,68,73,56,88,76
2389,412,77,95,91,67,81,86
2470,413,81,75,62,65,69,70
2027,414,75,71,53,61,57,56
2104,415,60,57,88,85,85,52
2279,416,76,68,64,61,84,94
2405,417,87,99,81,60,96,58
2113,418,50,57,88,61,50,88
2101,419,85,61,86,86,50,59
2332,420,71,80,80,87,81,97
2473,421,93,70,60,66,80,97
2468,422,52,68,56,61,97,57
2322,423,66,61,73,64,66,97
2345,424,80,89,72,70,56,52
2381,425,99,97,58,54,91,50
2406,426,80,76,99,98,50,74
2100,427,73,68,50,52,99,56
2371,428,100,83,63,52,91,86
2403,429,89,50,72,54,87,67
2140,430,57,60,99,56,83,79
2231,431,76,59,86,99,60,83
2286,432,100,82,77,69,91,96
2242,433,57,90,60,59,82,92
2048,434,99,81,75,96,66,66
2025,435,58,91,99,88,53,70
2168,436,59,79,76,92,68,73
2481,437,74,89,82,99,95,51
2215,438,59,68,61,74,52,81
2317,439,95,59,75,75,83,76
2158,440,92,88,92,77,76,75
2173,441,81,71,83,78,52,74
2198,442,97,84,77,87,87,82
2033,443,60,92,98,83,91,92
2409,444,55,55,57,75,90,61
2098,445,69,79,69,53,72,82
2203,446,91,56,50,51,65,57
2383,447,80,75,64,96,54,76
2358,448,81,92,81,56,86,73
2185,449,84,55,60,51,99,98
2050,450,63,91,71,74,52,54
2148,451,96,73,92,80,83,76
2128,452,97,80,81,77,80,84
2217,453,65,51,53,80,90,60
2224,454,52,52,98,70,54,90
2419,455,67,50,61,79,78,91
2459,456,90,72,78,99,89,59
2315,457,98,93,55,81,98,85
2060,458,51,84,92,83,85,57
2077,459,84,64,86,84,83,78
2338,460,81,83,63,62,66,96
2328,461,57,84,95,62,94,97
2176,462,80,79,77,88,56,60
2207,463,76,71,71,50,89,72
2141,464,52,100,73,69,84,74
2119,465,68,78,100,78,66,88
2320,466,52,85,61,88,61,77
2122,467,76,90,53,71,69,54
2439,468,50,92,52,90,81,94
2334,469,76,55,77,69,79,58
2337,470,77,90,55,52,91,78
2359,471,65,98,59,58,72,97
2072,472,85,97,80,89,72,70
2464,473,96,99,86,76,68,59
2057,474,57,69,82,83,90,61
2387,475,72,92,90,87,91,93
2160,476,92,77,52,87,98,68
2133,477,78,98,72,77,68,75
2374,478,59,81,79,96,64,85
2226,479,51,50,76,64,62,56
2456,480,66,90,70,86,76,91
2130,481,79,71,60,79,55,73
2111,482,83,72,50,63,50,54
2115,483,69,84,67,90,63,51
2431,484,84,81,92,86,98,75
2036,485,99,56,81,98,53,69
2362,486,52,59,55,69,77,79
2059,487,51,71,92,92,59,92
2030,488,100,87,72,86,61,88
2146,489,85,60,55,61,62,51
2287,490,79,62,58,74,99,75
2000,491,55,98,86,63,97,72
2013,492,63,99,87,68,61,65
2214,493,100,57,93,57,55,53
2438,494,58,70,72,67,64,90
2142,495,58,87,83,99,95,81
2273,496,100,57,90,72,61,71
2452,497,59,82,64,50,99,65
2476,498,72,81,89,96,74,67
2313,499,50,65,65,76,94,87
2017,500,77,79,75,77,93,93
